id,first_name,last_name,days_since_workshop,days_since_coaching,manager_ni_rating,self_ni_rating,missing_assignments,withdrawal
1,Tamiko,Guyonneau,50,6,0,0,1,0
2,Karlee,Selwyn,3,36,0,1,0,0
3,Klemens,Skough,16,34,0,1,0,0
4,Myer,Shooter,5,29,0,1,1,0
5,Ephraim,Pietruszewicz,22,20,0,1,0,0
6,Karoline,Sainteau,34,4,0,1,0,0
7,Rosemaria,De Roos,30,10,1,0,0,0
8,Barr,Waldram,57,1,0,0,0,0
9,Alia,Mumby,52,13,1,0,1,0
10,Lorenzo,Dolling,51,39,1,0,2,1
11,Eziechiele,Cawthra,48,22,0,0,0,0
12,Shaine,Mandre,53,41,1,0,2,1
13,Olly,Baudinet,17,43,0,0,1,0
14,Kaycee,Benz,59,20,1,1,0,0
15,Zenia,Rubke,14,55,0,1,1,0
16,Cristal,Sisselot,26,8,0,0,2,0
17,Coriss,Wiffler,20,39,1,0,2,1
18,Jenelle,Ing,21,54,0,0,0,0
19,Maye,Toft,50,53,1,1,0,0
20,Cash,Braxay,10,10,0,0,2,0
21,Avivah,Goudard,16,54,0,1,0,0
22,Vannie,Habgood,24,55,1,1,1,1
23,Erica,Langworthy,44,41,1,1,2,1
24,Ruddie,Jandel,36,58,1,1,2,1
25,Jilly,Dederich,48,18,1,1,1,0
26,Edsel,Tutt,16,29,1,0,2,0
27,Gareth,Pioch,7,14,0,0,1,0
28,Terrel,Himsworth,57,32,0,0,0,0
29,Tristan,Vynehall,56,9,1,0,2,0
30,Logan,Aymeric,18,11,1,1,1,0
31,Wyn,Houdmont,37,3,1,0,1,0
32,Alyssa,McArthur,50,51,0,1,1,0
33,Jobie,L'argent,44,14,0,0,1,0
34,Durward,Wing,29,52,1,1,0,0
35,Davita,Navan,25,6,0,1,0,0
36,Nicole,Haldon,27,42,1,1,2,1
37,Pegeen,Cunniam,30,39,1,1,0,0
38,Hurlee,Eade,18,34,0,1,0,0
39,Addia,Pearman,9,26,1,1,0,0
40,Jessa,Curm,51,58,0,1,0,0
41,Jemmie,Maytum,34,34,1,0,0,0
42,Othella,Lewson,23,44,1,1,0,0
43,Ado,Stowell,49,5,1,1,2,0
